FPR,TPR,Model
0.09583736689254599,0.48128342245989303,Logistic Regression
0.09777347531461762,0.48128342245989303,Logistic Regression
0.09777347531461762,0.4893048128342246,Logistic Regression
0.10067763794772508,0.4893048128342246,Logistic Regression
0.10067763794772508,0.4919786096256685,Logistic Regression
0.10358180058083252,0.4919786096256685,Logistic Regression
0.10358180058083252,0.4946524064171123,Logistic Regression
0.10454985479186835,0.4946524064171123,Logistic Regression
0.10454985479186835,0.49732620320855614,Logistic Regression
0.10939012584704744,0.49732620320855614,Logistic Regression
0.10939012584704744,0.5026737967914439,Logistic Regression
0.11035818005808325,0.5026737967914439,Logistic Regression
0.11035818005808325,0.5053475935828877,Logistic Regression
0.11132623426911907,0.5053475935828877,Logistic Regression
0.11132623426911907,0.5080213903743316,Logistic Regression
